坐标,强度值
0.00480958,41345000.0
0.014002,-194168000.0
0.0231944,-243921000.0
0.0323869,-311156000.0
0.0415793,-185782000.0
0.0507717,-247127000.0
0.0599641,-203880000.0
0.0691566,-135474000.0
0.078349,143646000.0
0.0875414,27097100.0
0.0967338,182409000.0
0.105926,14917600.0
0.115119,305471000.0
0.124311,398583000.0
0.133504,255009000.0
0.142696,9762820.0
0.151888,115522000.0
0.161081,-244289000.0
0.170273,-151671000.0
0.179466,5764100.0
0.188658,432085000.0
0.19785,184937000.0
0.207043,34976800.0
0.216235,-130252000.0
0.225428,-389199000.0
0.23462,7464960.0
0.243813,131358000.0
0.253005,304133000.0
0.262197,605207000.0
0.27139,6144000.0
0.280582,159886000.0
0.289775,126807000.0
0.298967,161790000.0
0.30816,77374500.0
0.317352,49940500.0
0.326544,-23596000.0
0.335737,77291500.0
0.344929,-429144000.0
0.354122,-212217000.0
0.363314,-44920800.0
0.372507,-83838000.0
0.381699,99989500.0
0.390891,292944000.0
0.400084,-108410000.0
0.409276,-385536000.0
0.418469,50640900.0
0.427661,63832100.0
0.436854,137767000.0
0.446046,82763800.0
0.455238,-276131000.0
0.464431,48502800.0
0.473623,-249071000.0
0.482816,79415300.0
0.492008,67732500.0
0.5012,-122370000.0
0.510393,36146200.0
0.519585,-57681900.0
0.528778,210832000.0
0.53797,435842000.0
0.547163,65443800.0
0.556355,243176000.0
0.565547,61505500.0
0.57474,404231000.0
0.583932,30989300.0
0.593125,5429250.0
0.602317,122523000.0
0.61151,64646100.0
0.620702,-543555000.0
0.629894,-142863000.0
0.639087,27648000.0
0.648279,-306198000.0
0.657472,7340030.0
0.666664,-309806000.0
0.675857,-171793000.0
0.685049,223412000.0
0.694241,359547000.0
0.703434,125054000.0
0.712626,289679000.0
0.721819,-95542300.0
0.731011,-217180000.0
0.740204,-53796900.0
0.749396,-104112000.0
0.758588,93890600.0
0.767781,134289000.0
0.776973,140085000.0
0.786166,-195512000.0
0.795358,23826400.0
0.80455,-180399000.0
0.813743,-141959000.0
0.822935,4591620.0
0.832128,46003200.0
0.84132,-167338000.0
0.850513,92491800.0
0.859705,272831000.0
0.868897,-248734000.0
0.87809,-836608.0
0.887282,351528000.0
0.896475,99000300.0
0.905667,-101907000.0
0.91486,-164221000.0
0.924052,365213000.0
0.933244,104099000.0
0.942437,146117000.0
0.951629,308695000.0
0.960822,80045100.0
0.970014,250783000.0
0.979207,239712000.0
0.988399,-240594000.0
0.997591,-505311000.0
1.00678,7552000.0
1.01598,64579600.0
1.02517,32706600.0
1.03436,19323900.0
1.04355,131912000.0
1.05275,66734100.0
1.06194,-29901800.0
1.07113,55636000.0
1.08032,131548000.0
1.08952,185458000.0
1.09871,64126000.0
1.1079,195500000.0
1.11709,239293000.0
1.12629,162265000.0
1.13548,340190000.0
1.14467,339809000.0
1.15386,120658000.0
1.16306,-404775000.0
1.17225,72379400.0
1.18144,291901000.0
1.19063,168482000.0
1.19982,4916220.0
1.20902,-339972000.0
1.21821,161598000.0
1.2274,142246000.0
1.23659,-382792000.0
1.24579,-370683000.0
1.25498,-423617000.0
1.26417,-466129000.0
1.27336,-424620000.0
1.28256,-82569200.0
1.29175,-237644000.0
1.30094,-107580000.0
1.31013,158495000.0
1.31933,94875600.0
1.32852,3731460.0
1.33771,270249000.0
1.3469,355623000.0
1.3561,111069000.0
1.36529,-52842500.0
1.37448,171359000.0
1.38367,240794000.0
1.39287,434506000.0
1.40206,142618000.0
1.41125,115483000.0
1.42044,-66135000.0
1.42964,-430407000.0
1.43883,-239980000.0
1.44802,-181510000.0
1.45721,-332214000.0
1.46641,-130294000.0
1.4756,-353768000.0
1.48479,-72940500.0
1.49398,-307192000.0
1.50317,-154043000.0
1.51237,63175700.0
1.52156,199033000.0
1.53075,132242000.0
1.53994,337887000.0
1.54914,-40042500.0
1.55833,-18842600.0
1.56752,-512759000.0
1.57671,-282400000.0
1.58591,-158337000.0
1.5951,51570700.0
1.60429,46254100.0
1.61348,-21662700.0
1.62268,-269266000.0
1.63187,-463983000.0
1.64106,-241908000.0
1.65025,-259592000.0
1.65945,-314548000.0
1.66864,154203000.0
1.67783,97641500.0
1.68702,-250752000.0
1.69622,-488390000.0
1.70541,-135728000.0
1.7146,-97847300.0
1.72379,-165082000.0
1.73299,263078000.0
1.74218,-371057000.0
1.75137,-206565000.0
1.76056,-136615000.0
1.76976,-89416700.0
1.77895,78030800.0
1.78814,67377200.0
1.79733,-113189000.0
1.80652,-116298000.0
1.81572,215593000.0
1.82491,-9733120.0
1.8341,-411351000.0
1.84329,-170508000.0
1.85249,-252497000.0
1.86168,-443125000.0
1.87087,-21968900.0
1.88006,-149324000.0
1.88926,-297121000.0
1.89845,144146000.0
1.90764,-22728700.0
1.91683,57258000.0
1.92603,-55467000.0
1.93522,95134700.0
1.94441,465677000.0
1.9536,319557000.0
1.9628,-105213000.0
1.97199,123621000.0
1.98118,123649000.0
1.99037,347175000.0
1.99957,289878000.0
2.00876,247254000.0
2.01795,85096400.0
2.02714,-150467000.0
2.03634,105218000.0
2.04553,228857000.0
2.05472,-153082000.0
2.06391,-90988500.0
2.07311,59910100.0
2.0823,59945000.0
2.09149,-103305000.0
2.10068,-218649000.0
2.10987,-89328600.0
2.11907,-544538000.0
2.12826,-264322000.0
2.13745,-17840100.0
2.14664,-156121000.0
2.15584,-243369000.0
2.16503,-68907000.0
2.17422,-393311000.0
2.18341,-623128000.0
2.19261,-305325000.0
2.2018,-165349000.0
2.21099,-223788000.0
2.22018,-437352000.0
2.22938,233981000.0
2.23857,46853100.0
2.24776,-86514700.0
2.25695,60223500.0
2.26615,294633000.0
2.27534,-92727300.0
2.28453,-291552000.0
2.29372,-487905000.0
2.30292,-236770000.0
2.31211,122964000.0
2.3213,116678000.0
